code,crime_severity,priority_code,description
PREA,,,Prison Rape Elimination Act incident/report
PRINTS,A,P4,FINGERPRINTING
PRITOW,A,SERV,PRIVATE TOW
PROBFU,A,P4,PROB FOLLOW UP
PROTEST,,,Protest
PROVIO,A,P3,PROB VIO GANG
PT,N,ADM,Physical training
PTH,A,P3,PRISONER TO HOSP
PTRANS,A,ADM,PRISONER TRANS
PUBNUI,A,P4,PUBLIC NUISANCE
PUBSER,N,SERV,PUBLIC SERVICE
PURSE,F,P4,ROBBRY STRNG ARM / ROBBERY SA I/P / ROBBERY SA RPT
PURSUI,W,P2,Traffic Pursuit
RAJ,N,P4,RAJ REPORT
RCCODE,A,P4,RC CITY CODE
RCCORD,A,P4,RC CITY ORDANCES
RDRAGE,M,P3,ROAD RAGE
RECPRO,N,P4,RECOVERED PROP
REPO,C,P4,REPOSSESSION
REPORT,N,ADM,Writing Report
REST,N,ADM,Rest Room Stop
RETPER,N,P4,RETURNED MISSPER
RGSTRNT,,,Restraining order violation
RIOT,F,P1,RIOT
RXPAT,,,Extra patrol recall
S&R,N,P1,SEARCH & RESCUE
SAFKEE,A,P4,KEEPING OF PROP
SBPD,N,ADM,SBPD CALL
SEARCH,A,P3,SEARCH WARRANT
SECCK,N,SERV,Security Check
SERVE,A,P4,LEGAL SERVICE
SGLSER,C,P4,SMALL CLAIMS PRO
SHAKE,A,P3,JAIL SHAKEDOWN
SHOTSF,F,P2,SHOTS FIRED
SHOTSH,F,P2,SHOTS HEARD
SHOTSP,,,ShotSpotter / gunshot detection alert
SKS,A,P4,SKS BUY BACK
SOAA,N,SERV,ASST OA SEARCH
SOREQ,N,SERV,FIRE REQUEST SO
SPLIT,N,ADM,DEF SPLIT ON WAR
SPROP,N,SERV,PROPERTY SEARCH
SR,N,ADM,Supplemental report
SS,N,P3,Subject Stop
STA,N,ADM,Sta Avl
STAB,F,P1,STABBING
STRIKE,N,SERV,STRIKE EVENT
STRIP,A,P3,STRIP SEARCH
STU,N,ADM,At Station Unavl
SUBCK,N,P3,SUBJECT CHECK
SUBSER,A,P4,SUBPOENA SERVICE
SUPP,N,ADM,SUPPLEMENTAL RPT
SUSCIR,M,P3,SUSPICIOUS CIRCS
SUSCON,M,P3,SUSPECT CONTACT
SUSPER,M,P3,SUSPICIOUS PER
SUSVEH,M,P3,SUSPICIOUS VEH
SV,N,SERV,SCHOOL VISIT
SWATTNG,,,Swatting hoax
T,N,P3,Traffic Stop
T911,N,ADM,Text 911 FU
TAG,M,P3,TAGGER
TEST,N,ADM,TEST
TEST1,,,Technical system test
THEFT,W,P3,"THEFT, MISC"
THEFTR,W,P4,"THEFT, MISC RPT"
TILTAP,W,P3,TILL TAP
TOW,A,SERV,TOW REQUEST
TP,W,P2,Traffic Pursuit
TPAT,,,Traffic patrol / targeted patrol
TRAF,I,P4,TRAFFIC CITATION
TRAFFIC COLLISION,,,Traffic collision
TRAING,N,ADM,Inservice Traing
TRAN,N,SERV,TRANSIENT
TRLRLOC,A,P4,ALPR TRAILER LOC
TRO,C,P4,TEMP REST ORDER
TSTOP,N,P3,Traffic Stop
UNKPRO,N,P3,Unknown problem
UNWANT,N,SERV,Unwanted person
UOF,F,P2,Use of Force
VACPAT,N,SERV,VACATION REPORT
VCAM1,N,ADM,Video Camera P1
VCAM2,N,ADM,Video Camera P2
VCCODE,,,Victorville City Code
VCONT,N,SERV,VICTIM CONTACT
VEHCK,N,SERV,VEHICLE CHECK
VEHICLE FIRE,,,Vehicle fire
VEHREL,A,SERV,Vehicle Release
VEHSER,N,SERV,Vehicle Service
VINVER,A,P4,VIN VERIFICATION
W911,N,ADM,Wireless 911 FU
WARARR,F,P2,Warrant arrest
WARR,A,P3,WARRANT
WARREX,F,P2,WARRANT Extradit
WARSER,F,P2,ATTEMPT WARSER
WEAPON,W,P4,P/M/S DANGER WPN / P/M/S WPNS RPT
WEAPONG,W,P3,P/M/S WPNS GANG
WEAPONR,W,P4,Report of weapon-related incident
WELCK,N,SERV,WELFARE CHECK
WIRES DOWN,N,SERV,Wires down or utility wire hazard
WP,C,P4,EVICTION
XPAT,N,SERV,EXTRA PATROL
